Address,Bedrooms,Bathrooms,Parking Spots,Study,Area in m²,Price
"1502/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,575000
"2301/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,0,-,599000
"1005/1 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,82,-
"238/1 Betty Cuthbert Avenue, Sydney Olympic Park",3,2,2,1,153,968000
"C811/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,1,1,1,82,682500
"807/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,730000
"702/1 Australia Avenue, Sydney Olympic Park",3,2,2,0,161,1000000
"506/8 Stockyard Boulevard, Sydney Olympic Park",1,1,1,1,67,-
"507/11 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,521000
"908/7 Australia Avenue, Sydney Olympic Park, NSW 2127",2,2,1,1,-,-
"Unit 1804/7 Australia Ave,Sydney Olympic Park NSW 2127",1,1,1,0,-,555000
"2707/1 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,1,183,1150000
"2804/1 Australia Ave,Sydney Olympic Park NSW 2127",4,2,2,1,218,2030000
"2312/1 Brushbox Street,Sydney Olympic Park NSW 2127",3,2,2,0,-,1000000
"1102/11 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,0,-,620000
"3 Carter Street,Sydney Olympic Park NSW 2127",2,2,1,0,171,-
"2705/1 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,782500
"3704/3 Olympic Boulevarde, Sydney Olympic Park",4,3,2,1,-,-
"406/7 Australia Avenue,Sydney Olympic Park NSW 2127",1,1,1,1,-,600000
"2202/7 Australia Avenue, Sydney Olympic Park, NSW 2127",1,1,1,1,90,559000
"501/7 Australia Avenue,Sydney Olympic Park NSW 2127",2,2,1,1,-,709000
"625/2 Betty Cuthbert Avenue, Sydney Olympic Park",3,2,2,0,-,-
"2G/9 Paddock Street, Sydney Olympic Park, NSW 2127",2,2,1,1,-,-
"2908/1 Brushbox St,Sydney Olympic Park NSW 2127",2,2,1,0,95,980000
"10906/2A Figtree Drive, Sydney Olympic Park, NSW 2127",1,1,0,1,61,-
"2305/11 Australia Avenue,Sydney Olympic Park NSW 2127",3,2,2,0,147,948888
"320/2 Betty Cuthbert Avenue,Sydney Olympic Park NSW 2127",2,1,1,1,-,680000
